c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22
11/11/2025,Regular Tuesday,8:37 AM,8:40 AM,8:50 AM,9:40 AM,10:30 AM,10:45 AM,10:50 AM,11:40 AM,12:30 PM,12:55 PM,1:15 PM,1:20 PM,2:15 PM,3:10 PM,,,,,,
12/11/2025,Regular Wednesday,8:37 AM,8:40 AM,8:50 AM,9:45 AM,10:40 AM,10:55 AM,11:00 AM,11:55 AM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:15 PM,,,,,,
13/11/2025,Regular Thursday,8:37 AM,8:40 AM,9:00 AM,9:55 AM,10:50 AM,11:05 AM,11:10 AM,12:00 PM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:10 PM,,,,,,
14/11/2025,Regular Friday,8:37 AM,8:40 AM,8:50 AM,9:45 AM,10:40 AM,10:55 AM,11:00 AM,11:55 AM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:10 PM,,,,,,
15/11/2025,Regular Saturday,,,,,,,,,,,,,,,,,,,,
16/11/2025,Regular Sunday,,,,,,,,,,,,,,,,,,,,
17/11/2025,Regular Monday,8:37 AM,8:40 AM,8:50 AM,9:45 AM,10:40 AM,10:55 AM,11:00 AM,11:55 AM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:10 PM,,,,,,
18/11/2025,Regular Tuesday,8:37 AM,8:40 AM,8:50 AM,9:40 AM,10:30 AM,10:45 AM,10:50 AM,11:40 AM,12:30 PM,12:55 PM,1:15 PM,1:20 PM,2:15 PM,3:10 PM,,,,,,
19/11/2025,Regular Wednesday,8:37 AM,8:40 AM,8:50 AM,9:45 AM,10:40 AM,10:55 AM,11:00 AM,11:55 AM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:15 PM,,,,,,
20/11/2025,Regular Thursday,8:37 AM,8:40 AM,9:00 AM,9:55 AM,10:50 AM,11:05 AM,11:10 AM,12:00 PM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:10 PM,,,,,,
21/11/2025,Regular Friday,8:37 AM,8:40 AM,8:50 AM,9:45 AM,10:40 AM,10:55 AM,11:00 AM,11:55 AM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:10 PM,,,,,,
22/11/2025,Regular Saturday,,,,,,,,,,,,,,,,,,,,
23/11/2025,Regular Sunday,,,,,,,,,,,,,,,,,,,,
24/11/2025,Regular Monday,8:37 AM,8:40 AM,8:50 AM,9:45 AM,10:40 AM,10:55 AM,11:00 AM,11:55 AM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:10 PM,,,,,,
25/11/2025,Regular Tuesday,8:37 AM,8:40 AM,8:50 AM,9:40 AM,10:30 AM,10:45 AM,10:50 AM,11:40 AM,12:30 PM,12:55 PM,1:15 PM,1:20 PM,2:15 PM,3:10 PM,,,,,,
26/11/2025,Regular Wednesday,8:37 AM,8:40 AM,8:50 AM,9:45 AM,10:40 AM,10:55 AM,11:00 AM,11:55 AM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:15 PM,,,,,,
27/11/2025,Regular Thursday,8:37 AM,8:40 AM,9:00 AM,9:55 AM,10:50 AM,11:05 AM,11:10 AM,12:00 PM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:10 PM,,,,,,
28/11/2025,Regular Friday,8:37 AM,8:40 AM,8:50 AM,9:45 AM,10:40 AM,10:55 AM,11:00 AM,11:55 AM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:10 PM,,,,,,
29/11/2025,Regular Saturday,,,,,,,,,,,,,,,,,,,,
30/11/2025,Regular Sunday,,,,,,,,,,,,,,,,,,,,
01/12/2025,Regular Monday,8:37 AM,8:40 AM,8:50 AM,9:45 AM,10:40 AM,10:55 AM,11:00 AM,11:55 AM,12:50 PM,1:10 PM,1:25 PM,1:30 PM,2:20 PM,3:10 PM,,,,,,
